Rank,Name,Revenue,Revenue in percentage,Profit,Profit in percentage,Assets,employees,years on global 500 list
133,Dell Technologies,88425.0,-0.136,3211.0,0.315,82089.0,120000,24
134,DHL Group,88385.3,-0.11,3975.1,-0.295,73795.0,551233,30
135,China Telecommunications,87961.5,0.009000000000000001,2150.8,0.044000000000000004,151916.7,391691,25
136,Nissan Motor,87773.5,0.121,2952.0,0.8009999999999999,131299.8,141855,30
137,Royal Bank of Canada,87498.7,0.6809999999999999,11019.0,-0.102,1444726.9,91398,30
138,Zhejiang Rongsheng Holding Group,86535.6,0.004,74.6,-0.561,57831.0,23373,4
139,Lowe's,86377.0,-0.11,7726.0,0.2,41795.0,226000,27
140,Tesco,86231.3,0.08199999999999999,1486.9,0.647,59497.9,225659,30
141,Tencent Holdings,86028.3,0.044000000000000004,16275.2,-0.418,222216.2,105417,8
142,Xiamen ITG Holding Group,85818.8,-0.168,178.9,-0.382,50244.4,34289,8
143,BYD,85082.0,0.35,4243.5,0.7170000000000001,95740.6,703504,3
144,Nippon Life Insurance,83090.0,0.16699999999999998,2854.0,2.2680000000000002,645391.8,85740,30
145,Siemens,82931.9,0.065,8476.7,1.105,153510.1,320000,30
146,Japan Post Holdings,82905.5,0.008,1859.1,-0.41600000000000004,1975196.1,221387,28
147,Aviation Industry Corp. of China,82654.1,0.012,1644.1,0.076,187461.3,384000,16
148,Mitsubishi UFJ Financial Group,82270.3,0.2,10314.8,0.251,2669641.2,145412,23
149,Procter & Gamble,82006.0,0.023,14653.0,-0.006,120829.0,107000,30
150,Wuchan Zhongda Group,81952.4,-0.044000000000000004,510.9,-0.121,23406.5,26354,14
151,Seven & I Holdings,80124.6,-0.09,1568.9,-0.251,70788.7,117540,19
152,Albertsons,79237.7,0.021,1296.0,-0.14400000000000002,26221.1,196650,20
153,ENEOS Holdings,79020.5,-0.136,1993.5,0.877,67031.8,50269,30
154,Bank of Communications,78757.1,0.006999999999999999,13098.6,-0.044000000000000004,1980962.0,94275,16
155,Energy Transfer,78586.0,-0.126,3935.0,-0.17300000000000001,113698.0,13786,11
156,U.S. Postal Service,78383.0,-0.003,-6478.0,-1.1159999999999999,45289.0,582781,30
157,Jiangxi Copper,78243.2,0.044000000000000004,371.2,-0.2,31154.0,32746,12
158,People's Insurance Co. of China,78181.7,-0.146,3153.2,-0.133,219318.9,175881,15
159,Boeing,77794.0,0.168,-2222.0,-0.133,137012.0,171000,30
160,China North Industries Group,76506.9,-0.075,1933.0,0.081,78674.5,216528,15
161,Pacific Construction Group,76433.0,-0.038,5035.3,-0.03,59040.1,293125,11
162,Kia,76419.4,0.14,6720.2,0.604,62240.7,52871,13
163,Sysco,76324.7,0.11199999999999999,1770.1,0.303,22821.2,71750,30
164,Dai-ichi Life Holdings,76304.8,0.085,2219.4,0.562,446636.1,59495,30
165,Pertamina,75787.8,-0.107,4441.4,0.16699999999999998,91123.6,40415,11
166,Vinci,75550.9,0.149,5083.1,0.135,130945.4,279426,24
167,Petronas,75409.6,-0.11699999999999999,16320.1,-0.223,168475.2,54105,28
168,Toronto-Dominion Bank,75063.3,0.541,7995.6,-0.409,1410162.9,103257,25
169,Lukoil,75012.8,0.541,13551.9,-0.409,95935.4,107596,24
170,Shaanxi Coal & Chemical Industry,74776.7,-0.013999999999999999,1113.7,-0.19699999999999998,100857.7,140142,10
171,Shenghong Holding Group,74700.8,0.22,548.5,0.282,31761.6,56863,5
172,BASF,74487.2,-0.18899999999999997,243.2,0.282,85481.6,111991,30
173,China Poly Group,73998.5,0.09300000000000001,988.2,-0.233,254160.5,102834,10
174,Groupe BPCE,73774.7,0.546,3031.3,-0.271,1705477.1,97835,15
175,Shandong Weiqiao Pioneering Group,73484.5,-0.019,1192.3,0.28,39326.0,97281,13
176,JBS,72863.2,0.003,-212.5,-1.071,42483.1,272565,15
177,Alimentation Couche-Tard,71856.7,0.14400000000000002,3090.9,0.152,29049.2,128000,11
178,State Bank of India,71844.0,0.21899999999999997,8106.0,0.17,807979.1,232296,19
179,China Merchants Bank,71514.6,-0.011000000000000001,20708.7,0.009000000000000001,1553788.9,116529,13
180,Oil & Natural Gas,71466.1,-0.092,5947.6,0.348,85215.3,36549,18
181,Guangzhou Automobile Industry Group,71386.1,-0.077,345.4,-0.446,59258.7,110847,12
182,UBS Group,71245.0,0.659,27849.0,2.65,1717246.0,112842,30
183,Airbus,70751.0,0.145,4096.1,-0.083,131291.1,147893,30
184,Toyota Tsusho,70498.4,-0.031,2293.3,0.092,46686.9,69517,16
185,Zhejiang Geely Holding Group,70356.8,0.165,812.6,-0.14,94120.3,143994,13
186,Taiwan Semiconductor,69415.8,-0.087,27350.4,-0.18,180507.6,76478,10
187,XMXYG,69286.9,-0.172,14.5,-0.9520000000000001,46717.0,33214,7
188,RTX,68920.0,0.027999999999999997,3195.0,-0.385,161869.0,185000,30
189,Itau Unibanco Holding,68455.0,0.195,6630.1,0.152,524123.6,95702,11
190,ArcelorMittal,68275.0,-0.145,919.0,-0.9009999999999999,93917.0,126756,20
191,GE Aerospace (General Electric),67954.0,-0.11199999999999999,9481.0,41.138000000000005,163045.0,125000,30
192,Beijing Automotive Group,67852.2,0.009000000000000001,328.1,0.10800000000000001,65757.0,90000,12
193,Lockheed Martin,67571.0,0.024,6920.0,0.207,52456.0,122000,30
194,Koç Holding,67482.7,0.239,3037.6,-0.28,96811.7,119306,23
195,American Express,67364.0,0.21100000000000002,8374.0,0.115,261108.0,74600,30
196,Hitachi,67313.8,-0.163,4081.5,-0.149,80817.9,268655,30
197,Roche Group,67269.8,-0.033,12797.1,-0.017,107533.6,103605,30
198,Wilmar International,67155.3,-0.085,1524.8,-0.365,61808.7,114123,16
199,Caterpillar,67060.0,0.128,10335.0,0.541,87476.0,113200,30
200,Banco Bilbao Vizcaya Argentaria,66978.1,0.46399999999999997,8669.0,0.284,856591.6,121486,30
201,Korea Electric Power,66977.2,0.226,-3692.4,0.284,185048.1,48696,30
202,MetLife,66905.0,-0.043,1578.0,-0.379,687584.0,45000,30
203,AEON,66727.0,-0.019,312.2,0.958,86485.8,381084,30
204,Lloyds Banking Group,66697.6,3.9960000000000004,6785.7,0.008,1123442.5,62569,29
205,Deutsche Bank,65978.1,0.56,6845.3,0.201,1454899.5,90130,30
206,China Vanke,65789.5,-0.122,1718.1,-0.489,212019.5,131097,9
207,HCA Healthcare,64968.0,0.079,5242.0,-0.071,56211.0,265000,30
208,Sumitomo Mitsui Financial Group,64718.3,0.426,6662.7,0.11900000000000001,1952365.4,120373,30
209,LG Electronics,64490.5,-0.006999999999999999,545.8,-0.41100000000000003,46502.9,74000,24
210,Unilever,64435.5,0.02,7012.8,-0.128,83130.1,128377,30
211,Accenture,64111.8,0.040999999999999995,6871.6,-0.001,51245.3,732819,23
212,Barclays,63800.6,0.41700000000000004,6535.9,-0.106,1883108.6,92400,30
213,Jinneng Holding Group,63639.8,-0.182,993.6,1.77,159091.1,439051,12
214,Aluminum Corp. of China,63595.4,-0.174,876.5,-0.484,86868.0,124995,17
215,Munich Re Group,63353.3,-0.16399999999999998,4979.4,0.38,302400.0,42812,30
216,Sberbank,63329.9,0.133,17743.5,3.4819999999999998,583489.4,210753,17
217,Banco do Brasil,63322.2,0.145,5980.4,0.11699999999999999,443906.4,86220,30
218,Progressive,62108.5,0.252,3902.4,4.409,88690.8,61432,11
219,IBM,61860.0,0.022000000000000002,7502.0,3.577,135241.0,296600,30
220,Nippon Steel Corporation,61359.1,0.040999999999999995,3801.2,-0.259,70854.6,121236,30
221,Deere,61251.0,0.165,10166.0,0.426,104087.0,82956,30
222,Nvidia,60922.0,1.2590000000000001,29760.0,5.813,65728.0,29600,1
223,StoneX Group,60856.1,-0.078,238.5,0.152,21938.7,4137,14
224,Zurich Insurance Group,60645.0,0.45299999999999996,4351.0,-0.055,361382.0,59593,30
225,Bouygues,60599.9,0.298,1124.3,0.099,67093.0,201498,30
226,Mizuho Financial Group,60503.6,0.41700000000000004,4698.0,0.145,1842826.0,52307,24
227,Daimler Truck Holding,60420.4,0.128,4081.0,0.456,78652.5,102946,2
228,ING Group,60401.0,0.257,4475.6,-0.649,1082724.8,59434,30
229,Merck (U.S.),60115.0,0.013999999999999999,365.0,-0.975,106675.0,71000,30
230,Bunge Global,59540.0,-0.114,2243.0,0.39299999999999996,25372.0,23000,22
231,Anheuser-Busch InBev,59380.0,0.027999999999999997,5341.0,-0.105,219340.0,154540,19
232,Industrial Bank,59152.3,-0.03,10893.3,-0.198,1431193.6,66569,12
233,POSCO Holdings,58999.2,-0.10400000000000001,1300.3,-0.46799999999999997,78342.4,44501,30
234,Panasonic Holdings,58787.4,-0.05,3072.0,0.5660000000000001,62235.1,228420,30
235,ConocoPhillips,58574.0,-0.287,10957.0,-0.413,95924.0,9900,29
236,Pfizer,58496.0,-0.41700000000000004,2119.0,-0.9329999999999999,226501.0,88000,30
237,Delta Air Lines,58048.0,0.14800000000000002,4609.0,2.497,73644.0,103000,29
238,China Huaneng Group,57890.8,-0.085,1632.1,0.45,219905.8,124623,16
239,China Energy Engineering Group,57708.1,0.051,600.0,0.102,112892.8,119182,11
240,Dongfeng Motor,57595.9,-0.158,-391.6,-1.3230000000000002,71051.6,122658,15
241,TD Synnex,57555.4,-0.077,626.9,-0.038,29412.8,28000,4
242,Publix Super Markets,57534.0,0.047,4349.0,0.49,34384.0,253000,30
243,Zhejiang Hengyi Group,57468.0,0.002,23.5,0.49,18826.8,22417,4
244,Allstate,57094.0,0.111,-188.0,0.49,103362.0,53200,29
245,Assicurazioni Generali,57022.6,-0.335,4050.7,0.32299999999999995,561752.8,81879,30
246,Cisco Systems,56998.0,0.106,12613.0,0.068,101852.0,84900,25
247,Repsol,56980.5,-0.214,3424.8,-0.23399999999999999,68072.7,23943,30
248,Lenovo,56863.8,-0.08199999999999999,1010.5,-0.37200000000000005,38751.0,69500,15
249,HBIS Group,56728.3,-0.048,23.7,-0.522,76868.2,97802,16
250,Contemporary Amperex Technology,56632.8,0.159,6232.5,0.364,101040.9,116055,2
251,Renault,56621.6,0.134,2376.2,0.364,134651.0,105497,30
252,Banco Bradesco,56490.5,0.095,2854.2,-0.298,397255.5,79583,28
253,China Electronics Technology Group,56083.8,0.004,2563.0,-0.038,92803.8,241097,9
254,Nationwide,54609.4,0.061,-45.2,-1.046,290615.0,24118,30
255,Charter Communications,54607.0,0.011000000000000001,4557.0,-0.099,147193.0,101100,8
256,State Power Investment,54484.6,0.009000000000000001,1615.9,1.173,247045.1,127514,13
257,Edeka Zentrale,54454.6,0.10099999999999999,461.7,0.027000000000000003,11957.2,410700,26
258,Bharat Petroleum,54413.1,-0.08,3245.4,11.229000000000001,24287.9,8511,21
259,AbbVie,54318.0,-0.064,4863.0,-0.589,134711.0,50000,9
260,New York Life Insurance,54317.2,-0.071,804.6,-0.589,408904.9,15384,30
261,Intel,54228.0,-0.14,1689.0,-0.789,191572.0,124800,30
262,TJX,54217.0,0.086,4474.0,0.27899999999999997,29747.0,349000,23
263,Novartis,54088.0,0.044000000000000004,14850.0,1.135,99945.0,76057,30
264,Rio Tinto Group,54041.0,-0.027000000000000003,10058.0,-0.19,103549.0,57174,19
265,Tsingshan Holding Group,53980.0,-0.013000000000000001,1554.2,0.067,20646.7,107805,6
266,Prudential Financial (U.S.),53979.0,-0.10099999999999999,2488.0,0.067,721123.0,40366,30
267,COSCO Shipping,53929.6,-0.42100000000000004,3584.4,-0.425,151544.5,106221,17
268,BHP Group,53817.0,-0.247,12921.0,-0.5820000000000001,101296.0,42319,30
269,HP,53718.0,-0.146,3263.0,0.042,37004.0,58000,30
270,United Airlines Holdings,53717.0,0.195,2618.0,2.552,71104.0,103300,27
271,Tata Motors,53634.9,0.228,3794.0,11.619000000000002,44475.6,91496,15
272,Performance Food Group,53354.7,0.131,397.2,2.531,12499.0,34825,4
273,Iberdrola,53334.1,-0.06,5192.3,0.138,165709.1,41448,20
274,Deutsche Bahn,53197.9,-0.102,-2566.4,0.138,85566.6,326781,30
275,Idemitsu Kosan,53042.6,-0.13699999999999998,1581.1,-0.156,33145.7,16571,30
276,Tyson Foods,52881.0,-0.008,-648.0,-1.2,36251.0,139000,23
277,Midea Group,52789.6,0.027000000000000003,4763.2,0.084,68477.3,198613,9
278,American Airlines Group,52788.0,0.078,822.0,5.472,63058.0,132100,29
279,China United Network Communications,52632.3,-0.003,1154.5,0.064,93387.4,242891,16
280,Liberty Mutual Insurance Group,52612.0,0.053,213.0,-0.486,165208.0,45000,30
281,Bank of Nova Scotia,52535.8,0.444,5495.0,-0.28600000000000003,1016565.1,89483,27
282,Volvo,52101.5,0.113,4696.3,0.451,66905.7,97440,30
283,Intesa Sanpaolo,52004.4,0.33899999999999997,8350.1,0.823,1064247.9,94368,26
284,Saint-Gobain,51830.3,-0.038,2917.8,-0.076,63285.8,144422,30
285,Shaanxi Yanchang Petroleum (Group),51525.9,-0.013000000000000001,997.3,0.146,68398.2,130427,12
286,Bayer,51498.4,-0.035,-3179.4,-1.7280000000000002,128406.2,99723,30
287,Tokio Marine Holdings,51371.9,0.046,4814.4,0.731,202320.3,43870,30
288,Nike,51217.0,0.09699999999999999,5070.0,-0.161,37531.0,83700,18
289,Maersk Group,51065.0,-0.374,3822.0,-0.8690000000000001,82100.0,105909,21
290,Phoenix Pharma,50934.9,0.33899999999999997,234.6,-0.069,15538.0,41276,14
291,Greenland Holding Group,50897.0,-0.215,-1349.9,-9.99,168210.2,59970,13
292,Shanghai Pudong Development Bank,50864.5,-0.059000000000000004,5184.5,-0.319,1269019.6,63582,12
293,Louis Dreyfus,50624.0,-0.155,1013.0,0.006999999999999999,22076.0,17017,11
294,Bank of Montreal,50495.0,0.45399999999999996,3237.0,-0.6920000000000001,931889.3,55767,14
295,ZF Friedrichshafen,50406.6,0.094,-33.5,-1.14,43262.7,165938,11
296,KB Financial Group,50228.4,0.151,3546.5,0.042,552514.4,25003,12
297,Sanofi,50208.7,0.052000000000000005,5837.7,-0.337,139677.5,86088,20
298,Marubeni,50166.9,-0.261,3261.7,-0.187,59010.7,53804,30
299,Oracle,49954.0,0.177,8503.0,0.266,134384.0,164000,18
300,Jinchuan Group,49900.7,0.009000000000000001,1359.5,0.222,21777.0,31025,6
301,Swiss Re,49800.0,0.083,3214.0,5.809,179576.0,14719,30
302,Chubb,49735.0,0.152,9028.0,0.6990000000000001,230682.0,40000,8
303,Enterprise Products Partners,49715.0,-0.146,5532.0,0.008,70982.0,7500,14
304,Capital One Financial,49484.0,0.29,4887.0,-0.336,478464.0,51987,14
305,Denso,49435.0,0.045,2164.2,-0.069,60133.4,162029,30
306,HDFC Bank,49299.1,0.934,7740.8,0.35100000000000003,483578.8,213527,1
307,China National Building Material Group,49088.8,-0.131,198.2,-0.685,99339.9,206518,14
308,Veolia Environnement,49027.1,0.087,1013.0,0.34600000000000003,80148.0,218288,22
309,China State Shipbuilding,48890.1,-0.055999999999999994,2408.4,-0.111,143707.9,196309,4
310,Vodafone Group,48871.9,0.027999999999999997,1236.2,-0.9,155751.0,96282,25
311,Plains GP Holdings,48712.0,-0.151,198.0,0.179,28597.0,4200,9
312,Landesbank Baden-Württemberg,48566.6,1.3780000000000001,1080.0,-0.32299999999999995,368130.1,10434,17
313,EXOR Group,48368.8,0.052000000000000005,4534.0,0.02,104681.9,83773,14
314,Jingye Group,48120.0,0.053,248.9,-0.244,13369.9,33000,4
315,UniCredit Group,48044.4,0.684,10277.6,0.513,866991.4,70752,27
316,Energie Baden-Württemberg,48032.2,-0.185,1662.2,-0.091,71481.0,26943,14
317,Tokyo Electric Power,47868.9,-0.16899999999999998,1853.3,-0.091,96518.2,38183,30
318,Sumitomo,47812.9,-0.051,2673.2,-0.36,72957.2,79692,30
319,World Kinect,47710.6,-0.192,52.9,-0.536,7375.3,5289,12
