Rank,Name,Revenue,Revenue in percentage,Profit,Profit in percentage,Assets,employees,years on global 500 list
395,PBF Energy,38324.8,-0.182,2140.5,-0.256,14387.8,3776,3
396,Standard Chartered,38292.0,0.542,3469.0,0.177,822844.0,84958,10
397,Xiaomi,38276.8,-0.081,2468.5,5.712000000000001,45682.8,33627,6
398,Compass Group,38004.7,0.16699999999999998,1609.5,0.133,21489.6,562460,22
399,Meiji Yasuda Life Insurance,37897.4,-0.053,1062.3,0.675,349493.5,47140,30
400,GSK,37691.8,-0.124,6124.5,-0.6679999999999999,75203.9,70212,30
401,Suncor Energy,37609.3,-0.163,6147.7,-0.11900000000000001,67156.4,14906,14
402,Hangzhou Industrial Investment Group,37398.0,0.42,364.1,0.08199999999999999,12096.0,4056,1
403,Uber Technologies,37281.0,0.17,1887.0,0.08199999999999999,38699.0,30400,2
404,DZ Bank,37220.9,0.317,2302.7,1.124,711938.4,29901,29
405,GS Caltex,37216.9,-0.179,882.6,-0.5920000000000001,18775.2,3268,12
406,Suzuki Motor,37184.9,0.084,1852.4,0.134,35614.5,72372,30
407,Haier Smart Home,36928.8,0.02,2344.4,0.07200000000000001,35698.4,112458,7
408,X5 Retail Group,36921.9,-0.015,918.8,0.41200000000000003,17659.2,372200,5
409,La Poste,36834.9,-0.01,555.7,-0.561,845509.2,232726,29
410,Hangzhou Iron and Steel Group,36772.3,-0.001,197.3,-0.198,14862.9,11492,3
411,Shanghai Pharmaceuticals Holding,36768.8,0.066,532.3,-0.363,29864.5,48164,5
412,Shandong Hi-Speed Group,36743.8,0.066,491.6,0.105,213269.4,56432,3
413,Honeywell International,36662.0,0.034,5658.0,0.139,61525.0,95000,30
414,Guangdong Guangxin Holdings,36608.9,0.035,86.0,-0.758,17393.8,44837,2
415,S.F. Holding,36502.4,-0.08199999999999999,1163.2,0.267,31205.5,153125,3
416,Mitsubishi Electric,36379.9,-0.016,1971.6,0.248,40783.9,149134,30
417,Guangzhou Pharmaceutical Holdings,36309.8,0.026000000000000002,324.0,0.040999999999999995,11794.5,35391,4
418,China Datang,36266.4,-0.036000000000000004,332.9,0.8320000000000001,122382.1,87991,15
419,Mapfre Group,36097.7,0.457,732.1,0.084,60688.2,30873,15
420,CFE,36077.6,0.168,5481.6,0.084,137339.7,92054,14
421,Jardine Matheson,36049.0,-0.044000000000000004,686.0,0.938,89182.0,443000,25
422,Mondelez International,36016.0,0.14400000000000002,4959.0,0.825,71391.0,91000,17
423,Daiwa House Industry,35999.4,-0.006999999999999999,2067.1,-0.09300000000000001,43206.7,48483,20
424,Starbucks,35975.6,0.11599999999999999,4124.5,0.257,29445.5,381000,4
425,Olam Group,35952.8,-0.098,207.6,-0.545,25287.1,65980,4
426,Qualcomm,35820.0,-0.19,7232.0,-0.441,51040.0,50000,7
427,Broadcom,35819.0,0.079,14082.0,0.225,72861.0,20000,2
428,JFE Holdings,35803.7,-0.08,1366.0,0.13699999999999998,38056.9,62218,22
429,Hailiang Group,35701.8,0.158,32.2,-0.358,10308.3,26727,5
430,US Foods Holding,35597.0,0.045,506.0,0.909,13187.0,30000,7
431,ELO Group,35569.0,-0.006,-409.7,-12.805,22955.6,145025,28
432,Migros Group,35563.1,0.126,205.9,-0.581,95605.6,72523,30
433,Mercadona,35525.4,0.187,1090.7,0.444,14942.7,98700,2
434,D.R. Horton,35460.4,0.059000000000000004,4745.7,-0.19,32582.4,13450,4
435,China Electronics,35390.9,-0.122,26.8,-0.19,61089.3,183469,14
436,Shudao Investment Group,35379.3,-0.069,685.9,0.062,188446.2,55878,3
437,China National Coal Group,35364.0,-0.158,2154.2,0.14800000000000002,73994.9,144531,5
438,TongLing Nonferrous Metals Group,35244.5,0.019,59.7,10.936,14236.4,21443,6
439,CK Hutchison Holdings,35199.8,0.05,3001.7,-0.359,148415.6,300000,9
440,Philip Morris International,35174.0,0.107,7813.0,-0.13699999999999998,65304.0,82700,16
441,Paccar,35127.4,0.21899999999999997,4600.8,0.528,40823.4,32400,4
442,PDD Holdings,34981.1,0.802,8479.2,0.809,49040.3,17403,1
443,CRH,34949.0,0.047,3178.0,-0.177,47469.0,78500,21
444,Quanta Computer,34860.2,-0.18899999999999997,1274.1,0.31,22517.6,56708,19
445,Salesforce,34857.0,0.11199999999999999,4136.0,18.885,99823.0,72682,2
446,AIA Group,34851.0,0.8240000000000001,3764.0,12.347999999999999,286319.0,27320,9
447,Nucor,34713.5,-0.16399999999999998,4524.8,-0.405,35340.5,32000,5
448,Jabil,34702.0,0.037000000000000005,818.0,-0.179,19424.0,236000,4
449,National Australia Bank,34549.9,0.8590000000000001,4934.3,0.006,682706.8,38516,25
450,SAP SE,34542.0,0.064,6636.6,1.7630000000000001,75474.9,107602,9
451,CRRC Group,34519.7,-0.005,861.5,-0.045,76601.7,165344,6
452,Shanghai Delong Steel Group,34399.5,0.026000000000000002,223.3,-0.11900000000000001,21814.5,42843,3
453,Lennar,34233.4,0.017,3938.5,-0.146,39234.3,12284,4
454,Sompo Holdings,34136.3,0.003,2878.7,3.275,98087.4,48421,28
455,Eli Lilly,34124.1,0.196,5240.4,-0.161,64006.3,43000,16
456,Korea Gas,34114.8,-0.149,-582.8,-1.504,44197.8,4163,9
457,Molina Healthcare,34072.0,0.066,1091.0,0.37799999999999995,14892.0,18000,2
458,Beijing Jianlong Heavy Industry Group,34069.6,0.036000000000000004,138.9,-0.39399999999999996,26732.8,57863,4
459,Cummins,34065.0,0.213,735.0,-0.6579999999999999,32005.0,75500,1
460,Shaanxi Construction Engineering Holding,34060.9,-0.019,352.7,-0.098,61076.0,41390,2
461,Rabobank Group,34042.6,0.5379999999999999,4634.5,0.894,677928.0,49132,26
462,Aisin,33969.6,0.044000000000000004,628.3,1.258,30703.7,115140,23
